id,vx_kms,vy_kms,vz_kms,status,end_time_s,total_eV,conv_eV,hall_eV,deltaK_eV,residual_eV
3820,-154.21632138004568,0.0,-62.85980442431244,4,-38.99039302730802,-7886.128589303049,-7866.021230194222,-20.10735494294007,-7886.144083750167,0.01549444711781689
3821,-156.6311294067097,0.0,87.58922859276457,4,-66.93874133850437,-1144.0961809489536,-1132.8428189613512,-11.25339227938706,-1144.1151602352516,0.01897928629796297
3822,123.34610419190624,0.0,-148.4858335181099,4,-26.086511660826215,-12205.073114923396,-12216.378944352156,11.305843643003941,-12205.039835797337,-0.0332791260589147
3823,105.41786632097381,0.0,-124.32081570236079,4,-28.470436718768124,-12118.129803744045,-12134.490000687714,16.360185806089238,-12118.145301674076,0.015497930031415308
3824,-44.71145742947684,0.0,-41.61778828341068,4,-43.605641346433366,-9882.827579840974,-9863.103531326284,-19.724056280367105,-9882.851356045197,0.023776204223395325
3825,-1.4184969275851063,0.0,-56.954783106225435,4,-40.15828700616913,-10650.900678837785,-10629.984259467768,-20.916435008136222,-10650.91372431138,0.01304547359541175
3826,64.27900012214441,0.0,-187.5618645222524,4,-25.109109275622956,-11413.589871846158,-11392.493945743867,-21.095901798414662,-11413.576472986959,-0.01339885919878725
3827,4.16861273945632,0.0,-85.77175622505476,4,-36.28592498333486,-10818.696472110369,-10796.071936694509,-22.62453074139049,-10818.71159865797,0.015126547601539642
3828,-139.2248269543151,0.0,71.80134170951473,4,-64.62040784549852,-3005.283058866684,-2991.3446579141337,-13.938423384232866,-3005.274192211339,-0.00886665534471831
3829,-26.647330475745452,0.0,-48.679978254485384,4,-42.10387273580221,-10275.487495513235,-10253.695742942957,-21.791700608428226,-10275.503849762717,0.01635424948290165
3830,-53.86591165888708,0.0,-56.8856361487646,4,-41.415964057637325,-9894.254604150367,-9874.357112525704,-19.897500293873946,-9894.273871552548,0.01926740218186751
3831,35.901054660179796,0.0,-57.28792495644659,4,-38.46015436441962,-11070.530301151563,-11056.132174601718,-14.398134772075426,-11070.549850193307,0.019549041744539863
3832,-8.108207154855094,0.0,-187.98604226970704,4,-26.2685131176921,-11057.071664677618,-11036.907845352376,-20.163830590465682,-11057.04694061929,-0.024724058328501997
3833,-148.10256114873496,0.0,3.155671939437365,4,-49.73164891671931,-5991.34844715789,-5973.005742744143,-18.342679324234332,-5991.353991677153,0.0055445192629122175
3834,5.877704455919878,0.0,12.45720319775172,4,-49.915374916804105,-10285.690638024158,-10263.926074372761,-21.764514051553885,-10285.684999184372,-0.005638839786115568
3835,-36.743644859605226,0.0,-3.1565791303345847,4,-49.698819082278305,-9528.675861081185,-9508.902211041239,-19.773617495494648,-9528.681741416349,0.005880335163965356
3836,102.73802083027913,0.0,-142.89957399735084,4,-27.135998895367972,-12110.412712577558,-12126.194671447374,15.781943051426365,-12110.292911359793,-0.11980121776468877
3837,41.14570212613374,0.0,138.07320113893266,4,-67.09487211017115,-10596.80708788651,-10448.07885222049,-148.72821925562604,-10596.836748019688,0.02966013317927718
3838,126.80884483932617,0.0,15.055600390843038,4,-39.850572419039,-12099.776590461064,-12098.733126174031,-1.0434892652753662,-12099.779385245087,0.002794784022626118
3839,101.09226695760077,0.0,-171.1670015986136,4,-25.17583642873971,-12115.52706154819,-12130.218254015288,14.691170471313322,-12115.464675110963,-0.06238643722645065
3840,46.66668838889476,0.0,95.75213099254903,4,-56.30087192136639,-10545.20608517778,-10518.152669850733,-27.053449189717195,-10545.204304629127,-0.0017805486531869974
3841,57.872473548856554,0.0,-82.02764308869844,4,-34.570443510893845,-11276.139740095505,-11241.221955845314,-34.917780832060146,-11276.157761680102,0.018021584597590845
3842,11.341016344286412,0.0,-100.6338506423197,4,-34.32647058717372,-10932.442617246354,-10909.883880115192,-22.558738311831085,-10932.457775689092,0.015158442738538724
3843,17.43631530177498,0.0,101.55812500530223,4,-60.20273649195686,-9631.06950238142,-9617.338236540269,-13.731245655703539,-9631.087848833462,0.018346452041441808
3844,-130.09937764491778,0.0,-119.33858696992559,4,-32.67815418247991,-9393.489093552716,-9373.871438936942,-19.61762444228853,-9393.487154715536,-0.0019388371802051552
3845,-52.14184277854536,0.0,-141.39111827052702,4,-30.85347144614719,-10566.060395357837,-10545.492401230944,-20.568007577224254,-10566.074844837836,0.014449479998802417
3846,-105.35656718541912,0.0,-45.63278663752042,4,-43.02190724285832,-8601.918387971184,-8582.411028244162,-19.507352460000135,-8601.93054163163,0.012153660445619607
3847,28.164436214386207,0.0,-61.85009693159607,4,-38.31044217435508,-10964.937821943273,-10945.217210563595,-19.720609563794035,-10964.964421474198,0.02659953092552314
3848,-31.686099084595458,0.0,-124.70878211467108,4,-32.461892044706,-10682.236826376793,-10661.28181797424,-20.95501851355182,-10682.252108538347,0.015282161553841433
3849,-10.365874062351145,0.0,45.941667395122366,4,-56.3635369050614,-9478.098042186348,-9460.5297652197,-17.568253200734212,-9478.096420630525,-0.0016215558225667337
3850,-112.18058934478482,0.0,-2.4726228266165378,4,-50.272564910047066,-7328.304110313124,-7308.810288144515,-19.493813624759145,-7328.309210204454,0.005099891330246464
3851,-7.067106419928314,0.0,120.28321603780918,4,-65.41824714396466,-8230.613173317915,-8242.3653440854,11.752192177424854,-8230.632671649897,0.019498331981594674
3852,71.67355955570532,0.0,0.47324318916942015,4,-43.180465195020766,-11165.513650280354,-11134.742699790982,-30.770968251029526,-11165.564008824023,0.05035854366906278
3853,-113.63140895424002,0.0,147.83750666916646,4,-84.9471269085825,685.9346280843963,684.8482443331167,1.0864227047825294,685.9187706577587,0.01585742663758083
3854,-14.363070463121357,0.0,0.6137611583913987,4,-49.30313582025503,-9999.679215423426,-9979.999819128385,-19.679410219972855,-9999.70024815266,0.021032729233411374
3855,160.56175187667907,0.0,-83.92838084461218,4,-29.407913061442787,-11978.873103952901,-11977.98417453309,-0.8889004550613632,-11978.874783921827,0.0016799689256004058
3856,-31.749751851910005,0.0,-102.45438434495487,4,-35.02527376465007,-10561.664379552358,-10541.106383691907,-20.558009995059283,-10561.660892908778,-0.0034866435798903694
3857,-147.0036437894484,0.0,88.2459970482858,4,-68.06109809202171,-1576.7811825538022,-1565.5331477125187,-11.24805660633391,-1576.7900931940324,0.00891064023016952
3858,161.372851182393,0.0,-64.14222330847198,4,-30.864329716190827,-11993.2570748078,-11990.406302565727,-2.8507372116881156,-11993.265759092996,0.008684285196068231
3859,150.2829340035925,0.0,-114.59807316443296,4,-27.57455077931278,-12111.652734157455,-12114.04422483279,2.3914598743147617,-12111.656954534736,0.004220377280944376
3860,-61.667629651921324,0.0,47.93852002596477,4,-60.03636007546706,-7626.232765719677,-7610.345868848657,-15.886913142408874,-7626.229993569561,-0.002772150116470584
3861,104.9408506140393,0.0,28.87683227436858,4,-42.97704616455239,-12066.566195724265,-12081.139823080113,14.573636173498873,-12066.567156558729,0.0009608344644220779
