vx_kms,vy_kms,vz_kms,psd_s3_m6,status,total_eV,conv_eV,hall_eV,deltaK_eV,residual_eV
-180.0,-120.0,-200.0,0.0,4,-9416.937595633417,-9396.349059263139,-20.588518607717646,-9417.007079766494,0.06948413307691226
-170.0,-120.0,-200.0,0.0,4,-9513.709430675244,-9493.215284644693,-20.494149229089512,-9513.708291418405,-0.0011392568394512637
-160.0,-120.0,-200.0,0.0,4,-9609.734120992249,-9589.302618212583,-20.431504333772686,-9609.697049272156,-0.03707172009308124
-150.0,-120.0,-200.0,0.0,4,-9704.796145499362,-9684.418848685158,-20.37727176820642,-9704.67611688893,-0.12002861043220037
-140.0,-120.0,-200.0,0.0,4,-9798.361463991207,-9777.966442919767,-20.39498794163045,-9798.219912817627,-0.14155117357950076
-130.0,-120.0,-200.0,0.0,4,-9890.238847068704,-9869.807969942533,-20.4308672511702,-9890.04080292455,-0.19804414415375504
-120.0,-120.0,-200.0,0.0,4,-9979.203061515682,-9958.690315940186,-20.512743466012203,-9979.007074852965,-0.19598666271667753
-110.0,-120.0,-200.0,0.0,4,-10066.307704216362,-10045.6306383557,-20.677041532880146,-10066.155236697949,-0.15246751841368678
-100.0,-120.0,-200.0,0.0,4,-10150.826229271697,-10129.92570706114,-20.900503262817466,-10150.687882366597,-0.1383469050997519
-90.0,-120.0,-200.0,0.0,4,-10232.197725734852,-10210.980992562922,-21.216728385442174,-10232.045809978918,-0.15191575593416928
-80.0,-120.0,-200.0,0.0,4,-10309.039068093083,-10287.412876384184,-21.62617101990124,-10308.911408582271,-0.1276595108120091
-70.0,-120.0,-200.0,0.0,4,-10381.579268970434,-10359.500823012788,-22.078453806575897,-10381.487394098967,-0.09187487146664353
-60.0,-120.0,-200.0,0.0,4,-10449.331485266459,-10426.809587464399,-22.521893266230837,-10449.318718817463,-0.012766448995535029
-50.0,-120.0,-200.0,0.0,4,-10511.077486411188,-10488.198727297344,-22.878771303255025,-10511.168715984995,0.0912295738071407
-40.0,-120.0,-200.0,0.0,4,-10568.777071975592,-10545.648660342182,-23.12839511727338,-10568.912406963682,0.1353349880901078
-30.0,-120.0,-200.0,0.0,4,-10622.127645610268,-10598.76553327609,-23.362112375771883,-10622.211725948333,0.08408033806517778
-20.0,-120.0,-200.0,0.0,4,-10670.179308970024,-10646.80382369894,-23.375488321163516,-10670.18356596254,0.0042569925153657096
-10.0,-120.0,-200.0,0.0,4,-10716.887729463866,-10693.468000725501,-23.41972544662579,-10716.914695979161,0.02696651529549854
0.0,-120.0,-200.0,0.0,4,-10758.878990609664,-10735.365730659232,-23.51325613598903,-10758.96447192799,0.08548131832503714
10.0,-120.0,-200.0,0.0,4,-10799.2384106533,-10775.708436116309,-23.529954179430277,-10799.270744155414,0.03233350211303332
20.0,-120.0,-200.0,0.0,4,-10835.165556708236,-10811.447057074727,-23.718513854693118,-10835.20384689528,0.03829018704345799
30.0,-120.0,-200.0,0.0,4,-10870.34757788807,-10846.55214853169,-23.7953765467343,-10870.239139139356,-0.10843874871352455
40.0,-120.0,-200.0,0.0,4,-10898.153777024381,-10874.193871403573,-23.959912643978694,-10898.374335497114,0.22055847273259133
50.0,-120.0,-200.0,0.0,4,-10926.474199389277,-10902.33112418529,-24.143040904962035,-10926.47314743691,-0.0010519523675611708
60.0,-120.0,-200.0,0.0,4,-10948.97141973521,-10924.817016791092,-24.154462196950913,-10949.011545928228,0.04012619301829545
